"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17834","SC-012: Сортировка по createdOn (asc)","sales-portal-api","Wed Dec 17 21:55:00 UTC 2025","passed","Wed Dec 17 21:55:18 UTC 2025","[API] [Sales Portal] [Products] Get Sorted > Sorting","","",""
"","1837","SC-005: Ошибка валидации amount и price (отрицательные)","sales-portal-api","Wed Dec 17 21:54:29 UTC 2025","passed","Wed Dec 17 21:54:31 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","12696","SC-054: Successful order creation","sales-portal-api","Wed Dec 17 21:52:24 UTC 2025","passed","Wed Dec 17 21:52:36 UTC 2025","[API] [Sales Portal] [Orders] [Create - Positive checks]","","",""
"","2857","Get All Customers via API","sales-portal-api","Wed Dec 17 21:52:07 UTC 2025","passed","Wed Dec 17 21:52:10 UTC 2025","[API] [Sales Portal] [Customers] [GetAll]","","",""
"","9925","SC-002: Создание товара с пустым notes","sales-portal-api","Wed Dec 17 21:54:11 UTC 2025","passed","Wed Dec 17 21:54:21 UTC 2025","[API] [Sales Portal] [Products] > [Создание продуктов с валидным телом запроса]","","",""
"","3118","SC-041: Успешное получение клиента по валидному ID","sales-portal-api","Wed Dec 17 21:52:13 UTC 2025","passed","Wed Dec 17 21:52:16 UTC 2025","[API] [Sales Portal] [Get customer] > Получение клиента с валидным ID","","",""
"","10874","Invalid address city => empty string","sales-portal-api","Wed Dec 17 21:53:10 UTC 2025","passed","Wed Dec 17 21:53:20 UTC 2025","[API] [Sales Portal] [Orders] [Update Delivery Details] > [Add invalid delivery address details to Order]","","",""
"","3978","SC-003: Ошибка валидации name (name не строка)","sales-portal-api","Wed Dec 17 21:53:39 UTC 2025","passed","Wed Dec 17 21:53:43 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","7958","SC-020: Обновление несуществующего товара","sales-portal-api","Wed Dec 17 21:55:27 UTC 2025","passed","Wed Dec 17 21:55:35 UTC 2025","[API] [Sales Portal] [Products] [Update]","","",""
"","11866","Delete comment with invalid Order ID","sales-portal-api","Wed Dec 17 21:52:54 UTC 2025","passed","Wed Dec 17 21:53:06 UTC 2025","[API] [Sales Portal] [Orders] [Add Comment]","","",""
"","17960","SC-101: Successful status update Draft → In Process","sales-portal-api","Wed Dec 17 21:52:26 UTC 2025","passed","Wed Dec 17 21:52:44 UTC 2025","[API] [Sales Portal] [Orders] [Create - Positive checks]","","",""
"","24930","Update status of Order to => Canceled","sales-portal-api","Wed Dec 17 21:53:35 UTC 2025","passed","Wed Dec 17 21:54:00 UTC 2025","[API] [Sales Portal] [Orders] [Update Status]","","",""
"","6803","Invalid address street => empty string","sales-portal-api","Wed Dec 17 21:53:21 UTC 2025","passed","Wed Dec 17 21:53:27 UTC 2025","[API] [Sales Portal] [Orders] [Update Delivery Details] > [Add invalid delivery address details to Order]","","",""
"","7027","SC-059: Non-existent customer ID","sales-portal-api","Wed Dec 17 21:52:44 UTC 2025","passed","Wed Dec 17 21:52:51 UTC 2025","[API] [Sales Portal] [Orders] [Create - Negative checks]","","",""
"","2120","SC-004: Отсутствует обязательное поле manufacturer","sales-portal-api","Wed Dec 17 21:54:22 UTC 2025","passed","Wed Dec 17 21:54:25 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","8867","Update status of Order to => InProcess","sales-portal-api","Wed Dec 17 21:53:27 UTC 2025","passed","Wed Dec 17 21:53:36 UTC 2025","[API] [Sales Portal] [Orders] [Update Status]","","",""
"","2772","SC-050: Обновление с невалидным значением country","sales-portal-api","Wed Dec 17 21:52:17 UTC 2025","passed","Wed Dec 17 21:52:19 UTC 2025","[API] [Sales Portal] [Update customer]","","",""
"","888","SC-011: Сортировка по цене по возрастанию","sales-portal-api","Wed Dec 17 21:54:33 UTC 2025","passed","Wed Dec 17 21:54:34 UTC 2025","[API][Sales Portal][Products][Positive] Get All Products","","",""
"","6773","Invalid address house => negative value","sales-portal-api","Wed Dec 17 21:53:21 UTC 2025","passed","Wed Dec 17 21:53:27 UTC 2025","[API] [Sales Portal] [Orders] [Update Delivery Details] > [Add invalid delivery address details to Order]","","",""
"","6859","Delete Customer by ID via API","sales-portal-api","Wed Dec 17 21:52:05 UTC 2025","passed","Wed Dec 17 21:52:12 UTC 2025","[API] [Sales Portal] [Customers] [Delete]","","",""
"","1915","SC-004: Невалидный manufacturer (не из списка)","sales-portal-api","Wed Dec 17 21:54:29 UTC 2025","passed","Wed Dec 17 21:54:31 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","4069","SC-023: Успешное удаление товара","sales-portal-api","Wed Dec 17 21:54:31 UTC 2025","passed","Wed Dec 17 21:54:35 UTC 2025","[API] [Sales Portal] [Products] [Delete]","","",""
"","11970","SC-010: Поиск товара по цене (строковый поиск)","sales-portal-api","Wed Dec 17 21:54:48 UTC 2025","passed","Wed Dec 17 21:55:00 UTC 2025","[API] [Sales Portal] [Products] Get Sorted > Search","","",""
"","4002","SC-015: Успешное получение товара по валидному ID","sales-portal-api","Wed Dec 17 21:54:34 UTC 2025","passed","Wed Dec 17 21:54:38 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","8997","SC-001: Успешное создание товара (имя с одним пробелом)","sales-portal-api","Wed Dec 17 21:53:51 UTC 2025","passed","Wed Dec 17 21:54:00 UTC 2025","[API] [Sales Portal] [Products] > [Создание продуктов с валидным телом запроса]","","",""
"","8709","Invalid address city => too long string","sales-portal-api","Wed Dec 17 21:53:19 UTC 2025","passed","Wed Dec 17 21:53:27 UTC 2025","[API] [Sales Portal] [Orders] [Update Delivery Details] > [Add invalid delivery address details to Order]","","",""
"","3354","SC-044: Полное обновление клиента","sales-portal-api","Wed Dec 17 21:52:16 UTC 2025","passed","Wed Dec 17 21:52:20 UTC 2025","[API] [Sales Portal] [Update customer]","","",""
"","1268","SC-007: Получение товаров без параметров","sales-portal-api","Wed Dec 17 21:54:33 UTC 2025","passed","Wed Dec 17 21:54:34 UTC 2025","[API][Sales Portal][Products][Positive] Get All Products","","",""
"","5993","SC-003: Ошибка валидации name (двойные пробелы)","sales-portal-api","Wed Dec 17 21:54:15 UTC 2025","passed","Wed Dec 17 21:54:21 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","708","SC-003: Отсутствует обязательное поле name","sales-portal-api","Wed Dec 17 21:54:31 UTC 2025","passed","Wed Dec 17 21:54:31 UTC 2025","[API] [Sales Portal] [Products] [Create]","","",""
"","7946","SC-011: Сортировка по manufacturer (desc)","sales-portal-api","Wed Dec 17 21:55:18 UTC 2025","passed","Wed Dec 17 21:55:26 UTC 2025","[API] [Sales Portal] [Products] Get Sorted > Sorting","","",""
"","5841","SC-021: Обновление с невалидным name","sales-portal-api","Wed Dec 17 21:55:35 UTC 2025","passed","Wed Dec 17 21:55:41 UTC 2025","[API] [Sales Portal] [Products] [Update]","","",""
"","18127","Delete comment from Order","sales-portal-api","Wed Dec 17 21:52:51 UTC 2025","passed","Wed Dec 17 21:53:10 UTC 2025","[API] [Sales Portal] [Orders] [Add Comment]","","",""
"","3745","SC-005: Ошибка валидации amount (отрицательное значение)","sales-portal-api","Wed Dec 17 21:54:25 UTC 2025","passed","Wed Dec 17 21:54:28 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","3915","SC-056: Missing required field customer","sales-portal-api","Wed Dec 17 21:52:36 UTC 2025","passed","Wed Dec 17 21:52:40 UTC 2025","[API] [Sales Portal] [Orders] [Create - Negative checks]","","",""
"","4917","Add valid comment to Order","sales-portal-api","Wed Dec 17 21:52:20 UTC 2025","passed","Wed Dec 17 21:52:25 UTC 2025","[API] [Sales Portal] [Orders] [Add Comment]","","",""
"","2169","SC-005: Ошибка валидации amount (нечисловое значение)","sales-portal-api","Wed Dec 17 21:54:28 UTC 2025","passed","Wed Dec 17 21:54:31 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
