"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13074","Remove comment from Order","sales-portal-ui","Sun Jan 04 11:16:50 UTC 2026","passed","Sun Jan 04 11:17:03 UTC 2026","[UI] [Sales Portal] [Orders] [Order Details]","","",""
"","28208","Status is Received on Order Details page","sales-portal-ui","Sun Jan 04 11:17:12 UTC 2026","passed","Sun Jan 04 11:17:41 UTC 2026","[UI] [Sales Portal] [Orders] [Order Details]","","",""
"","19477","Refresh Order","sales-portal-ui","Sun Jan 04 11:17:17 UTC 2026","passed","Sun Jan 04 11:17:37 UTC 2026","[UI] [Sales Portal] [Orders] [Order Details]","","",""
"","31904","Status is Partially Received on Order Details page","sales-portal-ui","Sun Jan 04 11:16:50 UTC 2026","passed","Sun Jan 04 11:17:22 UTC 2026","[UI] [Sales Portal] [Orders] [Order Details]","","",""
"","606","Login as Admin via API","setup","Sun Jan 04 11:16:47 UTC 2026","passed","Sun Jan 04 11:16:48 UTC 2026","","","",""
"","23753","Check Flat is set correctly when only Flat is changed","sales-portal-ui","Sun Jan 04 11:18:53 UTC 2026","failed","Sun Jan 04 11:19:17 UTC 2026","[UI] [Sales Portal] [Orders] [Shedule Delivery] > [Partially modify customer delivery address on Shedule Delivery page]","","",""
"","12139","Add comment to Order","sales-portal-ui","Sun Jan 04 11:16:50 UTC 2026","passed","Sun Jan 04 11:17:02 UTC 2026","[UI] [Sales Portal] [Orders] [Order Details]","","",""
"","21420","Create pickup in different country than Customer","sales-portal-ui","Sun Jan 04 11:19:00 UTC 2026","failed","Sun Jan 04 11:19:21 UTC 2026","[UI] [Sales Portal] [Orders] [Shedule Delivery]","","",""
"","11358","SC-025: Delete Product From Order","sales-portal-ui","Sun Jan 04 11:17:46 UTC 2026","failed","Sun Jan 04 11:17:58 UTC 2026","[UI] [Sales Portal] [Orders] [Requested products] ","","",""
"","28740","Status is In Process on Order Details page","sales-portal-ui","Sun Jan 04 11:16:50 UTC 2026","passed","Sun Jan 04 11:17:19 UTC 2026","[UI] [Sales Portal] [Orders] [Order Details]","","",""
"","25566","Status is Canceled on Order Details page","sales-portal-ui","Sun Jan 04 11:17:15 UTC 2026","passed","Sun Jan 04 11:17:41 UTC 2026","[UI] [Sales Portal] [Orders] [Order Details]","","",""
"","22619","Create delivery with Customer Home address","sales-portal-ui","Sun Jan 04 11:17:45 UTC 2026","failed","Sun Jan 04 11:18:08 UTC 2026","[UI] [Sales Portal] [Orders] [Shedule Delivery]","","",""
"","0","SC-097: Successful manager unassignment","sales-portal-ui","Sun Jan 04 11:16:48 UTC 2026","skipped","Sun Jan 04 11:16:48 UTC 2026","[UI] [Sales Portal] [Orders] [Manager]","","",""
"","21829","Status is Draft on Order Details page","sales-portal-ui","Sun Jan 04 11:16:50 UTC 2026","passed","Sun Jan 04 11:17:12 UTC 2026","[UI] [Sales Portal] [Orders] [Order Details]","","",""
"","1","SC-091: Successful manager assignment","sales-portal-ui","Sun Jan 04 11:16:48 UTC 2026","skipped","Sun Jan 04 11:16:48 UTC 2026","[UI] [Sales Portal] [Orders] [Manager]","","",""
"","23798","Create pickup in same country as Customer","sales-portal-ui","Sun Jan 04 11:18:53 UTC 2026","failed","Sun Jan 04 11:19:17 UTC 2026","[UI] [Sales Portal] [Orders] [Shedule Delivery]","","",""
"","22548","Check City is set correctly when only City is changed","sales-portal-ui","Sun Jan 04 11:18:12 UTC 2026","failed","Sun Jan 04 11:18:34 UTC 2026","[UI] [Sales Portal] [Orders] [Shedule Delivery] > [Partially modify customer delivery address on Shedule Delivery page]","","",""
"","23539","Check Country is set correctly when only Country is changed","sales-portal-ui","Sun Jan 04 11:18:05 UTC 2026","failed","Sun Jan 04 11:18:28 UTC 2026","[UI] [Sales Portal] [Orders] [Shedule Delivery] > [Partially modify customer delivery address on Shedule Delivery page]","","",""
"","23085","Check House is set correctly when only House is changed","sales-portal-ui","Sun Jan 04 11:18:36 UTC 2026","failed","Sun Jan 04 11:18:59 UTC 2026","[UI] [Sales Portal] [Orders] [Shedule Delivery] > [Partially modify customer delivery address on Shedule Delivery page]","","",""
"","23511","Create delivery with Other address entierly different from Customer address","sales-portal-ui","Sun Jan 04 11:18:05 UTC 2026","failed","Sun Jan 04 11:18:28 UTC 2026","[UI] [Sales Portal] [Orders] [Shedule Delivery]","","",""
"","0","SC-091: Successful manager change","sales-portal-ui","Sun Jan 04 11:16:48 UTC 2026","skipped","Sun Jan 04 11:16:48 UTC 2026","[UI] [Sales Portal] [Orders] [Manager]","","",""
"","23074","Check Street is set correctly when only Street is changed","sales-portal-ui","Sun Jan 04 11:18:32 UTC 2026","failed","Sun Jan 04 11:18:55 UTC 2026","[UI] [Sales Portal] [Orders] [Shedule Delivery] > [Partially modify customer delivery address on Shedule Delivery page]","","",""
